# name|c_symbol|url|commit_sha|sha256_parser_c
# Generated by scripts/record-grammar-pins.sh — do not use mutable branch names as pins.
ruby|tree_sitter_ruby|https://github.com/tree-sitter/tree-sitter-ruby|ad907a69da0c8a4f7a943a7fe012712208da6dee|4ce468358b6f4e25a35c8cf6bc0eaf60665bc22d602f8c939323c2347255cd15
rust|tree_sitter_rust|https://github.com/tree-sitter/tree-sitter-rust|77a3747266f4d621d0757825e6b11edcbf991ca5|9602518f9e57919910bf0e777e52f6bfc9325d4c182e998bdb4efd5682b76e4a
scala|tree_sitter_scala|https://github.com/tree-sitter/tree-sitter-scala|724189910261d795a5ba7d49dd3680cb68cda1e0|8bcf912934ffb5ed9992cbc8a18c62f6e654eb765d3034894748140c9b754ced
sql|tree_sitter_sql|https://github.com/DerekStride/tree-sitter-sql|851e9cb257ba7c66cc8c14214a31c44d2f1e954e|36ffce6999124e9762054f9bfe2cd3778db05288feb33a4e150dc17df2e73026
swift|tree_sitter_swift|https://github.com/alex-pinkus/tree-sitter-swift|31d17fe7e818a2048c808b5c6fdc2dc792f4f5b5|cd57689a482a162c8f5bb2b33ae199adbdbcdc3fb737acec3dba02d07dbd20a6
toml|tree_sitter_toml|https://github.com/tree-sitter-grammars/tree-sitter-toml|64b56832c2cffe41758f28e05c756a3a98d16f41|1991a2608e6f0214e563fe5f762e8df72954dc69a3dd9a1e22ea8a870e4052c3
typescript|tree_sitter_typescript|https://github.com/tree-sitter/tree-sitter-typescript|75b3874edb2dc714fb1fd77a32013d0f8699989f|74fe453edd70f4eae9af0a1050cbd7943d8971d59165b6aaebbaa0a0b716d1aa
tsx|tree_sitter_tsx|https://github.com/tree-sitter/tree-sitter-typescript|75b3874edb2dc714fb1fd77a32013d0f8699989f|1902cb53fa7ff5179df89b2eea863165e84c8cc866226419dc26921d8c055885
verilog|tree_sitter_verilog|https://github.com/tree-sitter/tree-sitter-verilog|227d277b6a1a5e2bf818d6206935722a7503de08|fe014cd25643bea9e380cc358c126359574387f420d9a6e71c1699fc83bfb822
yaml|tree_sitter_yaml|https://github.com/tree-sitter-grammars/tree-sitter-yaml|a1c4812a73ec5e089de8e441fdea3a921e8d5079|02c5d32e95fa018a3c3ba7d7134d84bb7d5595c8874aa7ae6582745d9b40dede
zig|tree_sitter_zig|https://github.com/tree-sitter-grammars/tree-sitter-zig|6479aa13f32f701c383083d8b28360ebd682fb7d|d6975b3bcbcaae6a393850e55a2547dff52cf187e870c75316304b8401e14d34
